country	USA	37.0902	-95.7129
country	Germany	51.1657	10.4515
country	Scotland	56.4907	-4.2026
country	N.Ireland	54.7877	-6.4923
country	UK	55.3781	-3.436
county	Sacramento	38.5816	-121.4944
county	Clackamas	45.4076	-122.5704
county	Washington	45.547	-123.1386
county	Greenville	34.8526	-82.394
county	South Ayrshire	55.4589	-4.6292
county	Curry	42.5441	-124.2782
county	Cobb	33.8999	-84.5641
county	Multnomah	45.5146	-122.5863
county	Antrim	54.7195	-6.2072
county	Down	54.3277	-5.7158
state	SC	33.8361	-81.1637
state	GA	32.1656	-82.9001
state	CA	36.7783	-119.4179
state	OR	43.8041	-120.5542
state	WA	47.7511	-120.7401
strain	7612-D11	42.07825	-124.26105
strain	7612-F10	42.10781	-124.2504
strain	7612-F6	42.08139	-124.25
strain	7612-G11	42.14188	-124.26797
strain	7881-A10	42.29316567	-124.3872632
strain	7881-A9	42.33257872	-124.3837086
strain	7881-D12	42.07966	-124.26046
strain	7881-D9	42.33426247	-124.4002058
strain	7881-G8	42.30525	-124.40121
strain	7881-H5	42.32055534	-124.3795487
strain	7885-C1	42.08025	-124.26092
